stops_id,tempo libero,"dormire, mangiare e altra cura della persona",istruzione e formazione,lavoro retribuito
15936,42,25,2,21
17127,119,62,1,9
12588,123,61,0,14
12589,121,60,0,11
18009,252,114,1,30
17799,159,83,1,22
12085,55,61,0,5
12096,48,63,0,3
12100,28,41,0,3
12072,32,40,0,4
12075,35,34,0,4
12083,33,28,0,2
12368,42,28,0,4
12373,13,10,0,3
12355,35,22,0,2
12353,37,22,0,1
15295,27,23,0,2
11697,0,0,0,0
11389,20,8,1,0
11383,14,5,1,0
11372,31,15,1,2
11374,34,25,1,2
11377,32,24,1,2
17952,22,20,1,2
17978,16,19,0,1
18129,12,7,1,0
18130,35,13,1,1
11368,50,16,1,4
16837,53,17,0,5
17954,17,11,0,7
11648,22,23,0,12
11649,32,37,0,14
11618,60,58,0,15
11614,61,75,1,16
11609,48,54,2,8
11587,64,55,2,6
11577,94,70,1,9
14013,37,19,0,2
14035,37,18,0,3
14036,39,15,0,1
14037,36,15,1,2
14038,56,25,0,1
14039,56,25,0,0
14040,28,17,1,1
13968,33,17,2,2
13969,61,30,3,4
14099,65,36,2,4
13971,125,62,0,9
13972,118,53,0,15
13973,126,63,1,9
13974,82,43,1,7
13975,46,21,1,4
13976,33,16,0,6
13849,19,11,0,3
13850,30,11,0,5
17130,34,12,0,5
13851,44,12,0,6
14107,4,3,0,0
17669,2,4,0,0
14048,3,2,0,0
13907,1,1,0,0
17410,1,3,0,0
17411,1,1,0,0
14016,1,0,0,0
15188,0,0,0,0
14028,0,0,0,0
12978,45,33,0,20
11335,43,28,0,14
11334,21,14,0,4
11339,15,12,0,2
11325,12,8,0,2
11617,61,58,0,16
11177,108,153,3,13
11174,46,98,1,10
10856,26,41,0,11
10850,18,26,0,8
10845,23,26,2,5
19842,32,43,1,11
10537,17,16,0,11
10530,24,15,1,5
10523,39,19,1,6
17923,27,13,2,3
10519,31,13,2,3
17502,43,31,0,3
12441,40,44,0,2
12447,30,36,0,1
12458,27,29,0,2
12674,18,9,0,5
14286,1,4,0,0
12687,1,4,0,0
12858,1,3,0,0
12860,0,0,0,0
18093,2,1,0,0
18094,3,1,0,0
17900,2,1,0,0
13342,0,5,0,0
17219,1,2,0,0
17856,8,0,0,0
13401,22,5,0,0
13402,15,6,0,0
13403,15,6,0,0
18049,0,1,0,0
13404,0,1,0,1
13405,0,1,0,1
13406,0,8,0,5
13407,0,7,0,6
13408,0,8,0,6
13409,0,9,0,6
16732,0,7,0,6
17416,10,2,0,1
13977,10,1,0,2
13978,6,0,0,1
13979,10,2,0,1
14041,18,10,0,1
14042,13,7,0,0
14043,6,2,0,0
14044,7,1,0,0
14045,6,2,0,0
14046,5,5,0,0
15042,2,5,0,0
15043,10,2,0,1
17104,27,8,0,5
17134,70,27,0,12
15525,115,55,0,16
13995,102,44,0,17
15027,125,49,0,16
14113,114,58,0,9
14117,79,44,1,6
15005,61,36,3,4
14118,18,9,3,3
14119,5,2,3,1
14120,10,8,1,0
13603,32,15,0,0
14191,31,14,0,0
17143,25,13,0,0
17123,8,4,0,2
14338,2,4,0,0
14365,1,3,0,1
14366,8,4,1,3
14367,77,26,2,10
14355,64,23,1,9
14356,10,6,0,0
14357,7,3,0,0
14358,10,2,0,0
14359,22,6,0,2
14360,17,6,0,1
14361,7,4,0,3
14362,7,10,0,2
15585,9,8,0,2
10203,10,4,0,4
13264,10,1,0,0
14111,97,48,0,12
15219,100,44,0,9
13854,2,1,0,0
13855,0,0,0,0
13856,0,0,0,0
17339,6,2,0,0
13859,11,3,0,1
13860,8,3,0,1
13861,9,4,0,0
13862,9,4,0,0
13863,8,4,0,0
13864,2,3,0,0
13865,4,2,0,0
15243,4,0,0,1
13867,4,0,0,1
13868,4,0,0,4
13869,36,15,1,8
13902,58,20,2,7
14153,13,10,1,1
14154,28,13,1,3
15244,29,12,1,3
17172,21,7,1,2
17107,17,4,0,2
16635,4,2,0,0
16637,3,3,0,0
16639,4,1,0,0
16642,3,3,0,0
16643,2,1,0,0
16645,0,0,0,0
16647,0,0,0,0
16649,1,0,0,0
16651,9,4,0,0
16653,8,3,0,0
16655,6,1,0,0
16332,0,0,0,0
15441,49,63,1,1
15297,43,60,0,2
12046,50,51,0,1
12049,38,42,0,4
12055,32,29,0,5
12058,32,34,0,3
12063,25,38,0,5
12104,37,41,0,6
12112,29,36,0,3
12113,32,32,0,3
12149,30,25,0,2
12151,31,30,1,3
12167,38,29,1,5
17255,56,43,1,2
12414,51,41,1,1
12479,64,38,0,4
12480,44,38,0,4
12482,38,36,0,3
12477,63,53,1,7
12511,100,75,1,8
12520,75,54,1,7
12528,36,41,0,1
12533,29,30,0,1
17820,75,53,1,6
12724,6,10,0,0
12690,5,6,0,0
12694,3,4,0,0
12857,4,4,0,0
12865,1,0,0,1
12867,0,0,0,1
13211,3,1,0,0
13212,3,1,0,0
13216,1,0,0,0
13217,1,1,0,1
16001,12,8,0,1
16852,14,12,0,2
16853,12,9,0,1
16854,6,3,0,1
13223,7,6,0,1
13224,1,2,0,0
13225,2,3,0,0
13226,3,5,0,0
16507,3,4,0,0
14983,3,4,0,0
14984,12,9,0,1
17986,3,3,0,1
16855,1,1,0,0
14985,0,0,0,0
14986,0,0,0,0
