id_amat,nome
10345,"Via Inganni, 64"
10346,"Via Inganni, 40 dopo Via C.na Corba"
10347,Via Inganni dopo Via Val Bavona
10348,"Via Inganni, 16 prima di Via dei Giacinti"
10349,Via dei Ciclamini prima di Via Orchidee
10350,"Via Lorenteggio, 208 dopo Via Inganni"
10351,Via Lorenteggio dopo Via Inganni
10352,Via C.na Corba dopo Via degli Astri
10353,Via dei Ciclamini prima di Via degli Anemoni
10356,"Via dei Giacinti, 24 prima di Via dei Giaggioli"
10357,Via degli Anemoni prima di Via Primaticcio
10358,Via Primaticcio dopo Via delle Orchidee
10360,Via Primaticcio prima di Via Cascina Corba
10361,"Via Primaticcio, 140 fronte Via Orchidee"
10364,"Via Primaticcio, 86 dopo L.go Brasilia"
10365,"Via Primaticcio, 90 prima di Via Soderini"
10366,"Via Soderini, 54 prima di Via Primaticcio"
10368,L.go Brasilia fronte 3 prima di Via S.Gimignano
10369,Via Lorenteggio fronte 163 prima di Via Primaticcio
10370,Via Soderini prima di Via S. Giminiano
10371,"Via Berna, 3 prima di Via dei Ciclamini"
10373,"Via Forze Armate, 99 prima di Via Albino"
10374,Via Forze Armate fronte 83 dopo Via Chinotto
10375,"Via Chinotto, 22 dopo P.za Perrucchetti"
10376,"Via Primaticcio, 200 prima di Via Forze Armate"
10377,"Via Primaticcio, 215 dopo Via Forze Armate"
10378,"Via Millelire, 20 prima di P.za Perrucchetti"
10380,Via Mille Lire prima di p.le Perrucchetti (corsia centrale)
10381,Via Primaticcio prima di Via Legione Romane
10382,"Via Primaticcio, 180 dopo Via Legioni Romane"
10383,Via Forze Armate dopo Via Pignotti
10384,"Via Forze Armate, 59 prima di P.za Bettini"
10385,"Via Forze Armate, 30 dopo Via Padulli"
10386,"Via Forze Armate, 41 prima di V.le Pisa"
10387,"P.le Bande Nere, 10"
10388,"P.le Siena, 16 prima di V.le Pisa"
10389,"Via Novara, 41 (dep. A.T.M.)"
10390,Via Capecelatro prima di P.za Axum
10393,"Via Novara, 31 prima di P.za Amati"
10396,"Via Chinotto, 40 prima di P.za Amati"
10397,"P.za Amati, 1"
10398,"Via Capecelatro, 61 dopo Via Corno di Cavento"
10399,"Via Capecelatro, 68 prima di Via Pessano"
10400,"Via Capecelatro, 53"
10401,Via Capecelatro dopo 64
10403,Via Mille Lire prima di via Rembrandt
10404,"Via Novara, 3 prima di P.za Melozzo da Forli'"
10405,Via Capecelatro dopo Via Paravia
10406,"Via Capecelatro, 45 prima di Via Paravia"
10408,"Via Rembrandt, 74 prima di P.za Melozzo da Forli'"
10410,"Via Capecelatro, 19 prima di Via Morgantini"
10411,"Via Capecelatro, 22 prima di Via Malnati"
10412,"Via Civitali, 30 prima di Via Paravia"
10413,"Via Paravia, 63 prima di Via Civitali"
10416,"Via Rembrandt, 163 prima di Via Branca"
10417,"Via Civitali, 23 prima di Via Morgantini"
10418,"Via Rembrandt, 44 prima di Via Fantoni"
10419,"Via Morgantini, 11 prima di Via Civitali"
10420,"Via Civitali, 4 prima di Via Morgantini"
10421,Via Morgantini prima di Via Civitali
10422,Via Paravia prima di Via Zamagna
10423,Via Paravia fronte 75 prima di Via Zamagna
