,0,1
666,11535,11525
667,11535,11524
668,11535,16961
669,11535,17394
670,11535,17393
671,11521,15004
672,11521,11525
673,11521,11524
674,11521,17826
675,11269,11275
676,11269,16895
677,11269,11277
678,11269,11273
679,11269,11274
680,11269,11233
681,11269,17233
682,11269,11272
683,11264,11266
684,11254,11251
685,11254,11253
686,11259,11260
687,11291,11282
688,11291,18022
689,11291,18025
690,11291,11288
691,11282,11279
692,11282,18025
693,11282,11288
694,11282,11285
695,11279,11284
696,11279,11285
697,10961,17550
698,10961,17551
699,10961,10962
700,10961,10963
701,10957,10954
702,10957,10958
703,10944,10956
704,10944,10993
705,10944,10018
706,10944,10994
707,10944,10943
708,10944,10996
709,10979,10988
710,10979,10987
711,10979,10989
712,10979,10983
713,10979,10986
714,10979,10980
715,10979,14978
716,10979,13778
717,10965,10970
718,10965,15555
719,10965,10966
720,10965,10964
721,10965,10967
722,10688,10687
723,10688,10691
724,10688,15554
725,10688,10690
726,14998,10685
727,14998,10680
728,10685,10680
729,10705,14905
730,10705,10709
731,14972,10699
732,14972,14979
733,14972,14980
734,14972,10704
735,14972,10706
736,10727,10728
737,10727,10726
738,10727,15583
739,10727,15778
740,10474,10475
741,10474,10476
742,10474,16467
743,14970,10323
744,14970,16473
745,14970,16447
746,14970,16521
747,15401,11937
748,15401,11939
749,15401,11933
750,15401,11936
751,15401,11938
752,15401,17358
753,17611,11929
754,17611,11928
755,17611,11937
756,17611,11934
757,17611,11931
758,11929,11930
759,11929,11928
760,11929,11884
761,11929,11934
762,11929,11931
763,11916,11915
764,11916,16875
765,11916,11885
766,11916,11884
767,11916,16851
768,11916,11921
769,11916,11923
770,15529,11879
771,15529,11880
772,15529,15528
773,15529,16053
774,11879,11880
775,12991,11874
776,11863,11864
777,11863,11862
778,11859,11860
779,11859,11864
780,11859,11605
781,11859,11861
782,11859,11606
783,17582,17330
784,17582,17331
785,17326,17329
786,17326,15671
787,17326,15666
788,17668,17328
789,17668,11589
790,17668,11590
791,17668,11587
792,17668,11588
793,17668,17327
794,17612,17615
795,17612,11587
796,17612,17853
797,17613,17614
798,17613,15665
799,11323,11322
800,11297,11296
801,11290,11289
802,11290,11286
803,11284,11289
804,11284,11285
805,11284,11286
806,11249,11246
807,11249,10929
808,11249,10927
809,11249,11248
810,11249,10930
811,11249,11247
812,11245,10899
813,11245,11242
814,11245,11246
815,11245,11244
816,11245,11243
817,11245,11210
818,11245,17753
819,11245,19617
820,11245,12936
821,11245,11211
822,11245,13237
823,11245,11250
824,10899,10897
825,10899,11242
826,10899,11244
827,10899,11243
828,10899,11210
829,10899,10898
830,10899,11209
831,10899,11211
832,10899,11208
833,10899,13237
834,10896,10894
