"Età (classi funzionali)";"NIL (Nuclei di Identità Locale)";"Residenti"
"14-18 anni";"Monlue' - Ponte Lambro (31)";272
"14-18 anni";"Triulzo Superiore (32)";77
"14-18 anni";"Rogoredo - Santa Giulia (33)";616
"14-18 anni";"Chiaravalle (34)";47
"14-18 anni";"Lodi - Corvetto (35)";1548
"14-18 anni";"Scalo Romana (36)";521
"14-18 anni";"Morivione (37)";374
"14-18 anni";"Vigentino - Q.re Fatima (38)";655
"14-18 anni";"Quintosole (39)";13
"14-18 anni";"Ronchetto delle Rane (40)";56
"14-18 anni";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";997
"14-18 anni";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1309
"14-18 anni";"Tibaldi (43)";394
"14-18 anni";"Porta Ticinese - Conchetta (44)";576
"14-18 anni";"Moncucco - San Cristoforo (45)";612
"14-18 anni";"Barona (46)";789
"14-18 anni";"Cantalupa (47)";31
"14-18 anni";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";598
"14-18 anni";"Giambellino (49)";1409
"14-18 anni";"Porta Genova (50)";726
"14-18 anni";"Porta Magenta (51)";1316
"14-18 anni";"Bande Nere (52)";1755
"14-18 anni";"Lorenteggio (53)";718
"14-18 anni";"Muggiano (54)";214
"14-18 anni";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1435
"14-18 anni";"Forze Armate (56)";1158
"14-18 anni";"San Siro (57)";1208
"14-18 anni";"De Angeli - Monte Rosa (58)";968
"14-18 anni";"Tre Torri (59)";165
"14-18 anni";"Stadio - Ippodromi (60)";789
"14-18 anni";"Quarto Cagnino (61)";461
"14-18 anni";"Quinto Romano (62)";197
"14-18 anni";"Figino (63)";122
"14-18 anni";"Trenno (64)";170
"14-18 anni";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";1398
"14-18 anni";"QT 8 (66)";189
"14-18 anni";"Portello (67)";365
"14-18 anni";"Pagano (68)";992
"14-18 anni";"Sarpi (69)";1303
"14-18 anni";"Ghisolfa (70)";780
"14-18 anni";"Villapizzone - Cagnola - Boldinasco (71)";1826
"14-18 anni";"Maggiore - Musocco - Certosa (72)";294
"14-18 anni";"Cascina Merlata (73)";8
"14-18 anni";"Roserio (74)";10
"14-18 anni";"Stephenson (75)";3
"14-18 anni";"Quarto Oggiaro - Vialba - Musocco (76)";1610
"14-18 anni";"Bovisa (77)";541
