Età (classi funzionali),NIL (Nuclei di Identità Locale),Residenti,num,nil_distro
65 anni e più,PARCO DELLE ABBAZIE,47,85,0.00015074877235973148
65 anni e più,PORTA GARIBALDI - PORTA NUOVA,1205,9,0.003864941929648435
65 anni e più,PORTA GENOVA,3619,50,0.011607655471699323
65 anni e più,PORTA MAGENTA,6434,51,0.020636544709840686
65 anni e più,PORTA TICINESE - CONCA DEL NAVIGLIO,4379,6,0.014045295194963066
65 anni e più,PORTA TICINESE - CONCHETTA,3302,44,0.010590903113443262
65 anni e più,PORTA VIGENTINA - PORTA LODOVICA,3135,5,0.01005526385846294
65 anni e più,PORTELLO,2175,67,0.006976139997498212
65 anni e più,PTA ROMANA,3516,27,0.011277291140783316
65 anni e più,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,10005,65,0.03209024398849177
65 anni e più,QT 8,1046,66,0.0033549620401761514
65 anni e più,QUARTO CAGNINO,2559,61,0.008207789541884104
65 anni e più,QUARTO OGGIARO - VIALBA - MUSOCCO,6931,76,0.022230632792027635
65 anni e più,QUINTO ROMANO,1287,62,0.004127950426105838
65 anni e più,QUINTOSOLE,154,39,0.0004939427860297585
65 anni e più,ROGOREDO - SANTA GIULIA,1581,33,0.005070932108526286
65 anni e più,RONCHETTO DELLE RANE,121,40,0.00038809790330909593
65 anni e più,RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO,3931,48,0.012608370726512861
65 anni e più,ROSERIO,62,74,0.00019886008268730536
65 anni e più,SAN SIRO,5376,57,0.017243093621402476
65 anni e più,SARPI,6154,69,0.01973846691705931
65 anni e più,SCALO ROMANA,2176,36,0.0069793474181867165
65 anni e più,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA,6556,42,0.021027850033838287
65 anni e più,STADIO - IPPODROMI,2949,60,0.009458683610401024
65 anni e più,STAZIONE CENTRALE - PONTE SEVESO,3700,10,0.011867456547468222
65 anni e più,STEPHENSON,18,75,5.773357239308865e-05
65 anni e più,TALIEDO - MORSENCHIO - Q.RE FORLANINI,4855,30,0.01557202744269141
65 anni e più,TIBALDI,2732,43,0.008762673320995455
65 anni e più,TRE TORRI,424,59,0.0013599463719260881
65 anni e più,TRENNO,1281,64,0.004108705901974809
65 anni e più,TRIULZO SUPERIORE,158,32,0.0005067724687837781
65 anni e più,UMBRIA - MOLISE - CALVAIRATE,5141,28,0.016489349759603818
65 anni e più,VIGENTINO - Q.RE FATIMA,3726,38,0.01195084948536935
65 anni e più,VILLAPIZZONE - CAGNOLA - BOLDINASCO,8255,71,0.026477257783608155
65 anni e più,XXII MARZO,7555,26,0.02423206330165471
