stop_id,nil
16904,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
16905,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
16906,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
16907,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
14869,UMBRIA - MOLISE - CALVAIRATE
14870,UMBRIA - MOLISE - CALVAIRATE
12124,UMBRIA - MOLISE - CALVAIRATE
14871,XXII MARZO
12111,XXII MARZO
12098,XXII MARZO
12095,XXII MARZO
11820,GUASTALLA
11810,GUASTALLA
11797,DUOMO
11793,DUOMO
11514,DUOMO
11503,DUOMO
11491,DUOMO
11548,BRERA
11542,BRERA
11533,PARCO SEMPIONE
11570,SARPI
11573,SARPI
11575,SARPI
11321,GHISOLFA
11317,GHISOLFA
11010,GHISOLFA
11002,GHISOLFA
10995,VILLAPIZZONE - CAGNOLA - BOLDINASCO
11016,VILLAPIZZONE - CAGNOLA - BOLDINASCO
11014,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10720,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10722,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10717,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10713,VILLAPIZZONE - CAGNOLA - BOLDINASCO
14905,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10323,ROSERIO
14904,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10716,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10721,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10723,VILLAPIZZONE - CAGNOLA - BOLDINASCO
11013,VILLAPIZZONE - CAGNOLA - BOLDINASCO
11015,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10992,VILLAPIZZONE - CAGNOLA - BOLDINASCO
11003,GHISOLFA
11006,GHISOLFA
11009,GHISOLFA
11320,GHISOLFA
11574,SARPI
11572,SARPI
11532,PARCO SEMPIONE
11541,BRERA
11547,BRERA
11500,DUOMO
11515,DUOMO
11794,DUOMO
11798,DUOMO
11816,GUASTALLA
11823,GUASTALLA
12094,XXII MARZO
12099,XXII MARZO
12108,XXII MARZO
14872,XXII MARZO
14873,UMBRIA - MOLISE - CALVAIRATE
14874,UMBRIA - MOLISE - CALVAIRATE
14227,PORTA GARIBALDI - PORTA NUOVA
14240,TRIULZO SUPERIORE
12808,TRIULZO SUPERIORE
12809,TRIULZO SUPERIORE
14204,TRIULZO SUPERIORE
15224,TRIULZO SUPERIORE
13239,TRIULZO SUPERIORE
15081,VIGENTINO - Q.RE FATIMA
11704,VIGENTINO - Q.RE FATIMA
11717,VIGENTINO - Q.RE FATIMA
11720,VIGENTINO - Q.RE FATIMA
11722,VIGENTINO - Q.RE FATIMA
11714,MORIVIONE
19725,MORIVIONE
17054,MORIVIONE
17055,PTA ROMANA
11765,PORTA VIGENTINA - PORTA LODOVICA
11756,PORTA VIGENTINA - PORTA LODOVICA
11758,PORTA VIGENTINA - PORTA LODOVICA
11761,GUASTALLA
11520,DUOMO
16937,DUOMO
17855,DUOMO
11519,DUOMO
11754,PORTA VIGENTINA - PORTA LODOVICA
11759,PORTA VIGENTINA - PORTA LODOVICA
11757,PORTA VIGENTINA - PORTA LODOVICA
11766,PORTA VIGENTINA - PORTA LODOVICA
11737,PORTA VIGENTINA - PORTA LODOVICA
17057,MORIVIONE
19724,MORIVIONE
11715,MORIVIONE
11713,VIGENTINO - Q.RE FATIMA
11721,VIGENTINO - Q.RE FATIMA
11718,VIGENTINO - Q.RE FATIMA
11703,VIGENTINO - Q.RE FATIMA
11706,VIGENTINO - Q.RE FATIMA
16875,STAZIONE CENTRALE - PONTE SEVESO
15671,PORTA GARIBALDI - PORTA NUOVA
11589,SARPI
17837,SARPI
18022,PAGANO
11265,PARCO SEMPIONE
11275,DUOMO
11885,STAZIONE CENTRALE - PONTE SEVESO
11889,STAZIONE CENTRALE - PONTE SEVESO
11893,STAZIONE CENTRALE - PONTE SEVESO
12187,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
12194,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
12147,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
12143,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
12109,XXII MARZO
11828,GUASTALLA
11821,GUASTALLA
17588,PTA ROMANA
11767,PTA ROMANA
11471,PORTA VIGENTINA - PORTA LODOVICA
11460,PORTA TICINESE - CONCA DEL NAVIGLIO
17559,PORTA TICINESE - CONCA DEL NAVIGLIO
17038,PORTA MAGENTA
16895,MAGENTA - S.VITTORE
11277,DUOMO
11267,PARCO SEMPIONE
18025,SARPI
15665,SARPI
11590,PORTA GARIBALDI - PORTA NUOVA
15666,PORTA GARIBALDI - PORTA NUOVA
11868,PORTA GARIBALDI - PORTA NUOVA
12614,TALIEDO - MORSENCHIO - Q.RE FORLANINI
12620,TALIEDO - MORSENCHIO - Q.RE FORLANINI
12820,TALIEDO - MORSENCHIO - Q.RE FORLANINI
12824,TALIEDO - MORSENCHIO - Q.RE FORLANINI
12825,TALIEDO - MORSENCHIO - Q.RE FORLANINI
12839,TALIEDO - MORSENCHIO - Q.RE FORLANINI
12835,TALIEDO - MORSENCHIO - Q.RE FORLANINI
17050,TALIEDO - MORSENCHIO - Q.RE FORLANINI
17052,TALIEDO - MORSENCHIO - Q.RE FORLANINI
12647,CORSICA
12405,CORSICA
12400,CORSICA
12391,CORSICA
12127,XXII MARZO
12125,XXII MARZO
17854,GUASTALLA
18155,DUOMO
17769,DUOMO
12126,XXII MARZO
12390,XXII MARZO
12392,XXII MARZO
12402,CORSICA
12407,CORSICA
12646,CORSICA
17043,TALIEDO - MORSENCHIO - Q.RE FORLANINI
17045,TALIEDO - MORSENCHIO - Q.RE FORLANINI
12831,TALIEDO - MORSENCHIO - Q.RE FORLANINI
12837,TALIEDO - MORSENCHIO - Q.RE FORLANINI
17697,TALIEDO - MORSENCHIO - Q.RE FORLANINI
19710,TALIEDO - MORSENCHIO - Q.RE FORLANINI
12827,TALIEDO - MORSENCHIO - Q.RE FORLANINI
12615,TALIEDO - MORSENCHIO - Q.RE FORLANINI
16228,TRIULZO SUPERIORE
16276,PARCO SEMPIONE
16284,TRIULZO SUPERIORE
16266,TRIULZO SUPERIORE
11502,DUOMO
14187,DUOMO
11484,DUOMO
11477,DUOMO
11225,MAGENTA - S.VITTORE
11194,MAGENTA - S.VITTORE
11176,PORTA GENOVA
11171,PORTA GENOVA
10855,PORTA GENOVA
10848,PORTA GENOVA
10824,GIAMBELLINO
10820,GIAMBELLINO
10560,GIAMBELLINO
10556,GIAMBELLINO
10548,GIAMBELLINO
10540,GIAMBELLINO
10341,GIAMBELLINO
10336,GIAMBELLINO
10205,GIAMBELLINO
10200,GIAMBELLINO
12984,GIAMBELLINO
11181,PORTA GENOVA
10199,GIAMBELLINO
10204,GIAMBELLINO
10335,GIAMBELLINO
10342,GIAMBELLINO
10539,GIAMBELLINO
10547,GIAMBELLINO
10561,GIAMBELLINO
10564,GIAMBELLINO
10825,GIAMBELLINO
10846,PORTA GENOVA
10854,PORTA GENOVA
11172,PORTA GENOVA
11175,MAGENTA - S.VITTORE
11200,MAGENTA - S.VITTORE
11234,DUOMO
11482,DUOMO
11486,DUOMO
14188,DUOMO
11504,DUOMO
11008,GHISOLFA
11001,GHISOLFA
10988,GHISOLFA
10678,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10697,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10466,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10462,MAGGIORE - MUSOCCO - CERTOSA
10453,MAGGIORE - MUSOCCO - CERTOSA
10448,MAGGIORE - MUSOCCO - CERTOSA
10314,MAGGIORE - MUSOCCO - CERTOSA
10308,MAGGIORE - MUSOCCO - CERTOSA
10305,MAGGIORE - MUSOCCO - CERTOSA
10449,MAGGIORE - MUSOCCO - CERTOSA
10450,MAGGIORE - MUSOCCO - CERTOSA
10456,MAGGIORE - MUSOCCO - CERTOSA
10464,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10698,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10675,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10680,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10987,GHISOLFA
10999,GHISOLFA
11316,GHISOLFA
12321,PARCO DELLE ABBAZIE
12323,PARCO DELLE ABBAZIE
12593,PARCO DELLE ABBAZIE
12595,PARCO DELLE ABBAZIE
17651,LODI - CORVETTO
12594,PARCO DELLE ABBAZIE
12592,PARCO DELLE ABBAZIE
12322,PARCO DELLE ABBAZIE
15641,PARCO DELLE ABBAZIE
11512,DUOMO
11458,PORTA TICINESE - CONCA DEL NAVIGLIO
15380,PORTA TICINESE - CONCA DEL NAVIGLIO
15378,PORTA TICINESE - CONCA DEL NAVIGLIO
15376,PORTA TICINESE - CONCA DEL NAVIGLIO
15374,TIBALDI
15372,TIBALDI
15370,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
15368,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
15366,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
11130,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
11112,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
11109,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
11107,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
11106,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
11082,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
11080,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
11096,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
11094,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
11093,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
11095,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
11078,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
11081,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
11105,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
11108,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
11110,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
11111,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
11131,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
15365,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
15367,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
15369,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
15371,TIBALDI
15373,TIBALDI
15375,PORTA TICINESE - CONCA DEL NAVIGLIO
15377,PORTA TICINESE - CONCA DEL NAVIGLIO
15379,PORTA TICINESE - CONCA DEL NAVIGLIO
11459,PORTA TICINESE - CONCA DEL NAVIGLIO
12585,GORLA - PRECOTTO
